year,Pharynx__false,Rectum__false,Urethra__false,all__false,Pharynx__true,Rectum__true,Urethra__true,all__true
2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,2.6582278481012658,4.59915611814346,1.5611814345991561,7.510548523206752,0.4166666666666667,2.916666666666667,0.8333333333333334,4.166666666666667
2018,1.6839378238341969,2.6770293609671847,1.2089810017271156,4.317789291882556,0.0,0.0,0.0,0.0
2019,1.4115571239523599,1.8967798853109836,0.8822232024702249,3.3083370092633433,0.0,0.0,0.0,0.0
2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
